Index,Timestamp,ScreenshotFilename,Position,Rotation,IsDisappear
1,20250807_184743473,Screenshot_20250807_184743473.png,"(-9.02,2.10,-3.45)","(0.26,0.05,-0.02,0.96)",0
2,20250807_184744725,Screenshot_20250807_184744725.png,"(-9.02,2.10,-3.45)","(0.25,0.17,-0.05,0.95)",0
3,20250807_184744976,Screenshot_20250807_184744976.png,"(-9.02,2.10,-3.45)","(0.23,0.56,-0.16,0.78)",0
4,20250807_184745234,Screenshot_20250807_184745234.png,"(-9.02,2.10,-3.45)","(0.14,0.81,-0.22,0.52)",0
5,20250807_184745450,Screenshot_20250807_184745450.png,"(-9.02,2.10,-3.45)","(0.11,0.84,-0.19,0.49)",0
6,20250807_184745654,Screenshot_20250807_184745654.png,"(-9.02,2.10,-3.45)","(0.02,0.97,-0.20,0.12)",0
7,20250807_184745860,Screenshot_20250807_184745860.png,"(-9.02,2.10,-3.45)","(-0.02,0.98,-0.12,-0.18)",0
8,20250807_184746064,Screenshot_20250807_184746064.png,"(-9.10,2.10,-3.41)","(-0.03,0.97,-0.11,-0.22)",0
9,20250807_184746259,Screenshot_20250807_184746259.png,"(-9.51,2.10,-3.25)","(-0.01,0.99,-0.13,-0.06)",0
10,20250807_184746478,Screenshot_20250807_184746478.png,"(-9.53,2.10,-3.03)","(0.00,0.99,-0.14,0.03)",0
11,20250807_184746684,Screenshot_20250807_184746684.png,"(-9.62,2.10,-2.85)","(0.01,0.99,-0.15,0.04)",0
12,20250807_184746902,Screenshot_20250807_184746902.png,"(-9.74,2.10,-2.86)","(0.01,0.99,-0.15,0.05)",0
13,20250807_184747111,Screenshot_20250807_184747111.png,"(-10.36,2.10,-2.93)","(0.01,0.99,-0.15,0.07)",0
14,20250807_184747337,Screenshot_20250807_184747337.png,"(-10.92,2.10,-3.08)","(0.03,0.97,-0.15,0.18)",0
15,20250807_184747579,Screenshot_20250807_184747579.png,"(-11.31,2.10,-3.29)","(0.06,0.92,-0.16,0.34)",0
16,20250807_184747825,Screenshot_20250807_184747825.png,"(-11.60,2.10,-3.61)","(0.08,0.87,-0.16,0.45)",0
17,20250807_184748080,Screenshot_20250807_184748080.png,"(-11.87,2.10,-4.07)","(0.09,0.83,-0.14,0.54)",0
18,20250807_184748323,Screenshot_20250807_184748323.png,"(-11.95,2.10,-4.30)","(0.11,0.74,-0.13,0.65)",0
19,20250807_184748570,Screenshot_20250807_184748570.png,"(-11.97,2.10,-4.59)","(0.12,0.71,-0.12,0.68)",0
20,20250807_184748821,Screenshot_20250807_184748821.png,"(-11.94,2.10,-4.85)","(0.13,0.63,-0.11,0.76)",0
21,20250807_184749083,Screenshot_20250807_184749083.png,"(-11.81,2.10,-5.29)","(0.15,0.49,-0.08,0.85)",0
22,20250807_184749349,Screenshot_20250807_184749349.png,"(-11.56,2.10,-5.64)","(0.15,0.39,-0.07,0.91)",0
23,20250807_184749638,Screenshot_20250807_184749638.png,"(-11.34,2.10,-5.81)","(0.17,0.23,-0.04,0.96)",0
24,20250807_184749920,Screenshot_20250807_184749920.png,"(-11.18,2.10,-5.89)","(0.17,0.20,-0.04,0.96)",0
25,20250807_184750156,Screenshot_20250807_184750156.png,"(-10.62,2.10,-6.12)","(0.18,0.20,-0.04,0.96)",0
26,20250807_184750399,Screenshot_20250807_184750399.png,"(-10.21,2.10,-6.29)","(0.18,0.11,-0.02,0.98)",0
27,20250807_184750635,Screenshot_20250807_184750635.png,"(-10.20,2.10,-6.29)","(0.18,0.01,0.00,0.98)",0
28,20250807_184750877,Screenshot_20250807_184750877.png,"(-10.04,2.10,-6.30)","(0.17,-0.02,0.00,0.98)",0
29,20250807_184751112,Screenshot_20250807_184751112.png,"(-9.76,2.10,-6.27)","(0.17,-0.04,0.01,0.98)",0
30,20250807_184751368,Screenshot_20250807_184751368.png,"(-9.76,2.10,-6.27)","(0.17,-0.05,0.01,0.98)",0
31,20250807_184751626,Screenshot_20250807_184751626.png,"(-9.65,2.10,-6.26)","(0.16,-0.05,0.01,0.98)",0
32,20250807_184751901,Screenshot_20250807_184751901.png,"(-9.02,2.10,-6.18)","(0.16,-0.10,0.02,0.98)",0
33,20250807_184752134,Screenshot_20250807_184752134.png,"(-8.47,2.10,-5.97)","(0.15,-0.28,0.04,0.95)",0
34,20250807_184752388,Screenshot_20250807_184752388.png,"(-7.92,2.10,-5.46)","(0.13,-0.50,0.08,0.85)",0
35,20250807_184752638,Screenshot_20250807_184752638.png,"(-7.89,2.10,-5.36)","(0.10,-0.71,0.10,0.69)",0
36,20250807_184752865,Screenshot_20250807_184752865.png,"(-7.89,2.10,-5.18)","(0.10,-0.70,0.11,0.70)",0
37,20250807_184753100,Screenshot_20250807_184753100.png,"(-7.90,2.10,-4.79)","(0.10,-0.71,0.11,0.69)",0
38,20250807_184753327,Screenshot_20250807_184753327.png,"(-7.90,2.10,-4.79)","(0.10,-0.71,0.11,0.69)",0
39,20250807_184753552,Screenshot_20250807_184753552.png,"(-7.91,2.10,-4.69)","(0.09,-0.74,0.11,0.66)",0
40,20250807_184753775,Screenshot_20250807_184753775.png,"(-8.00,2.10,-3.97)","(0.09,-0.76,0.10,0.64)",0
41,20250807_184754011,Screenshot_20250807_184754011.png,"(-8.06,2.10,-3.76)","(0.04,-0.84,0.07,0.53)",0
42,20250807_184754265,Screenshot_20250807_184754265.png,"(-8.06,2.10,-3.76)","(0.04,-0.84,0.07,0.53)",0
43,20250807_184754523,Screenshot_20250807_184754523.png,"(-8.17,2.10,-3.69)","(0.02,-0.97,0.07,0.23)",0
44,20250807_184754749,Screenshot_20250807_184754749.png,"(-8.90,2.10,-3.40)","(0.01,-0.98,0.08,0.15)",0
45,20250807_184754983,Screenshot_20250807_184754983.png,"(-9.59,2.10,-3.24)","(0.01,-0.99,0.09,0.07)",0
46,20250807_184755204,Screenshot_20250807_184755204.png,"(-10.13,2.10,-3.17)","(0.01,-0.99,0.09,0.07)",0
47,20250807_184755420,Screenshot_20250807_184755420.png,"(-10.67,2.10,-3.30)","(0.01,-0.99,0.09,0.06)",0
48,20250807_184755648,Screenshot_20250807_184755648.png,"(-10.89,2.10,-3.99)","(0.01,-0.99,0.12,0.08)",0
49,20250807_184755864,Screenshot_20250807_184755864.png,"(-11.29,2.10,-4.54)","(0.01,-0.99,0.13,0.05)",0
50,20250807_184756068,Screenshot_20250807_184756068.png,"(-11.00,2.10,-5.23)","(0.00,-0.99,0.13,-0.01)",0
51,20250807_184756252,Screenshot_20250807_184756252.png,"(-10.42,2.10,-5.23)","(0.00,-1.00,0.08,-0.05)",0
52,20250807_184756491,Screenshot_20250807_184756491.png,"(-10.28,2.10,-5.22)","(0.00,-1.00,0.08,-0.05)",0
53,20250807_184756719,Screenshot_20250807_184756719.png,"(-10.19,2.10,-5.21)","(0.00,-1.00,0.06,-0.02)",0
54,20250807_184756941,Screenshot_20250807_184756941.png,"(-10.17,2.10,-5.50)","(0.00,-1.00,0.06,-0.02)",0
55,20250807_184757159,Screenshot_20250807_184757159.png,"(-10.17,2.10,-5.63)","(0.00,-1.00,0.01,0.01)",0
56,20250807_184757367,Screenshot_20250807_184757367.png,"(-10.17,2.10,-5.63)","(0.00,-1.00,0.03,0.00)",0
